image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000069_00001_d_0000001.jpg,11,5,23,0,7,0,1,744,0.02698022872209549,0.06855253258550634,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_00483_d_0000002.jpg,23,27,4,5,1,2,0,800,0.04158701375126839,0.06584193862089241,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_00713_d_0000003.jpg,19,23,30,0,22,0,4,951,0.03984295204281807,0.08758517463117504,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_01109_d_0000004.jpg,16,14,15,2,4,0,2,737,0.0346367172896862,0.08950645302334698,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_01878_d_0000005.jpg,19,6,17,2,10,2,4,381,0.048381779342889786,0.05377725007727043,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_02163_d_0000006.jpg,18,16,31,4,13,2,5,1000,0.031187446787953377,0.0760014210220805,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_02480_d_0000007.jpg,20,28,44,4,25,0,18,1000,0.04613121598958969,0.07015105803951723,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000072_02834_d_0000003.jpg,30,21,43,1,20,0,4,1000,0.05713808909058571,0.016821784230801124,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000076_02142_d_0000009.jpg,4,10,7,3,1,2,1,1000,0.0150262750685215,0.07897433113960693,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000081_00000_d_0000001.jpg,19,23,67,12,62,5,52,1000,0.06188031658530235,0.041544919511014286,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_00000_d_0000001.jpg,17,19,20,4,17,1,6,1000,0.02981446497142315,0.038571373456790126,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_00592_d_0000002.jpg,16,11,49,5,35,4,25,1000,0.025265302509069443,0.04480806705398208,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_01084_d_0000003.jpg,34,33,112,24,108,17,88,1000,0.05851413309574127,0.079554012345679,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_01443_d_0000004.jpg,47,60,60,41,55,26,44,1000,0.08576000481843948,0.06388832909707093,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_01954_d_0000005.jpg,30,32,143,24,139,20,114,1000,0.06748681515455246,0.0462814845073832,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_00180_d_0000026.jpg,0,1,1,0,0,0,0,999,0.004783231299370527,0.05229169399401437,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_00502_d_0000027.jpg,2,2,1,0,0,0,0,416,0.011223608627915382,0.04807621126112883,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_01734_d_0000028.jpg,0,0,4,0,0,0,0,511,0.006613654084503651,0.08701869944440675,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_02544_d_0000029.jpg,0,14,14,0,0,0,0,1000,0.02782944031059742,0.043755572894286505,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_02964_d_0000030.jpg,0,7,10,0,0,0,0,1000,0.023562705144286156,0.02974754430799617,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_03349_d_0000031.jpg,2,2,2,0,0,0,0,128,0.03544766083359718,0.12943903551424416,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_03738_d_0000032.jpg,1,6,2,0,0,0,0,548,0.012926752679049969,0.05648995861320307,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_04122_d_0000033.jpg,1,3,3,0,0,0,0,516,0.009750425815582275,0.06917080911564934,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_04513_d_0000034.jpg,2,3,0,0,0,0,0,717,0.01062782946974039,0.07408877807178235,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000103_04948_d_0000035.jpg,0,2,1,0,0,0,0,888,0.005918256938457489,0.025651280427588186,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000115_00315_d_0000080.jpg,4,5,57,0,56,0,47,1000,0.018489500507712364,0.025175192144759138,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000115_00796_d_0000081.jpg,3,11,75,0,67,0,45,1000,0.030312826856970787,0.01984407528443476,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000115_01031_d_0000082.jpg,8,6,55,3,49,1,33,1000,0.019976340234279633,0.02240263404744614,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000116_00351_d_0000083.jpg,14,17,60,10,55,3,31,1000,0.03926882520318031,0.039433120007262165,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000116_00819_d_0000084.jpg,6,6,30,1,23,1,13,1000,0.018591750413179398,0.03460452977487291,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000116_01059_d_0000085.jpg,9,12,61,3,56,2,49,1000,0.03185424208641052,0.035608992979908015,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000116_01338_d_0000086.jpg,4,11,50,2,45,0,40,1000,0.02657228522002697,0.016320450556765915,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000117_00112_d_0000087.jpg,8,9,121,0,112,0,90,1000,0.025519737973809242,0.019134182931150163,lowlight,none,0.0
