image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-VisDroneOverlap\images\test\2015_00440.JPEG,6,3,4,0,0,0,0,104,0.06988468766212463,0.2246687163398693,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00441.JPEG,3,3,2,1,2,0,1,47,0.07963914424180984,0.27681208888888886,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00442.JPEG,1,2,1,0,0,0,0,67,0.038445670157670975,0.2935106928104575,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00443.JPEG,3,2,0,0,0,0,0,41,0.07934696972370148,0.2522909699346405,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00444.jpg,1,1,2,0,0,0,0,29,0.05515355244278908,0.18816601562500002,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00445.JPEG,7,7,5,2,1,1,0,165,0.051998913288116455,0.17823667450980393,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00446.jpg,5,2,1,0,0,0,0,52,0.0945739820599556,0.1116292418606787,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00447.jpg,1,0,1,0,0,0,0,10,0.09702979028224945,0.06384862762650632,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00448.jpg,2,0,0,0,0,0,0,13,0.16750961542129517,0.07220161787045547,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00449.JPG,0,0,2,0,0,0,0,641,0.006289336364716291,0.03519738562091503,synthetic_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00450.jpg,2,0,1,0,0,0,0,109,0.018358958885073662,0.15647764705882353,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00451.JPG,1,1,3,0,0,0,0,82,0.03147810325026512,0.14321465931985058,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00452.JPG,0,0,4,0,0,0,0,26,0.008119129575788975,0.1269199954988403,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00453.JPG,4,0,3,0,0,0,0,69,0.03279430419206619,0.2526100841564519,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00454.JPG,4,0,1,0,0,0,0,65,0.03873606026172638,0.21548569580217386,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00455.JPG,2,0,2,0,0,0,0,95,0.020909538492560387,0.16148971070390222,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00456.JPG,0,0,3,0,0,0,0,18,0.015579832717776299,0.06157012548173612,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00457.JPG,2,2,2,0,0,0,0,71,0.03345528244972229,0.10151186718867135,real_lowlight,none,0.0
