image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00439.JPEG,0,1,1,0,0,0,0,153,0.006367448717355728,0.1599074823529412,lowlight,clahe,0.10151975145526962
datasets\ExDark-YOLO\images\test\2015_00440.JPEG,0,4,10,0,0,0,0,501,0.011952394619584084,0.2246687163398693,lowlight,clahe,0.07082811223447712
datasets\ExDark-YOLO\images\test\2015_00441.JPEG,1,12,4,1,2,1,0,616,0.026044467464089394,0.27681208888888886,lowlight,clahe,0.07870882480596406
datasets\ExDark-YOLO\images\test\2015_00442.JPEG,0,15,2,0,0,0,0,522,0.0282360278069973,0.2935106928104575,lowlight,clahe,0.07547088822508169
datasets\ExDark-YOLO\images\test\2015_00443.JPEG,0,1,3,0,0,0,0,177,0.007326056715101004,0.2522909699346405,lowlight,clahe,0.08420526003370099
datasets\ExDark-YOLO\images\test\2015_00444.jpg,0,1,3,0,0,0,0,455,0.0048912824131548405,0.18816601562500002,lowlight,clahe,0.07154145603553921
datasets\ExDark-YOLO\images\test\2015_00445.JPEG,1,4,11,1,2,1,0,969,0.01876555196940899,0.17823667450980393,lowlight,clahe,0.07567451427185456
datasets\ExDark-YOLO\images\test\2015_00446.jpg,0,0,6,0,0,0,0,530,0.012296183966100216,0.1116292418606787,lowlight,clahe,0.051150776782066996
datasets\ExDark-YOLO\images\test\2015_00447.jpg,0,0,2,0,0,0,0,69,0.005638295318931341,0.06384862762650632,lowlight,clahe,0.025980669806985296
datasets\ExDark-YOLO\images\test\2015_00448.jpg,0,1,2,0,0,0,0,33,0.031273726373910904,0.07220161787045547,lowlight,clahe,0.027680076848447713
datasets\ExDark-YOLO\images\test\2015_00449.JPG,0,0,2,0,0,0,0,90,0.008080562576651573,0.03519738562091503,lowlight,clahe,0.036821930530024506
datasets\ExDark-YOLO\images\test\2015_00450.jpg,0,0,3,0,0,0,0,135,0.00515979528427124,0.15647764705882353,lowlight,clahe,0.04705709699244281
datasets\ExDark-YOLO\images\test\2015_00451.JPG,0,2,4,0,0,0,0,309,0.008037718944251537,0.14321465931985058,lowlight,clahe,0.06338675704656863
datasets\ExDark-YOLO\images\test\2015_00452.JPG,0,0,4,0,0,0,0,94,0.006094685755670071,0.1269199954988403,lowlight,clahe,0.07555080997242647
datasets\ExDark-YOLO\images\test\2015_00453.JPG,0,0,7,0,0,0,0,261,0.005179827567189932,0.2526100841564519,lowlight,clahe,0.08662295432495914
datasets\ExDark-YOLO\images\test\2015_00454.JPG,0,0,5,0,0,0,0,304,0.0035372639540582895,0.21548569580217386,lowlight,clahe,0.09654701222937093
datasets\ExDark-YOLO\images\test\2015_00455.JPG,0,0,4,0,0,0,0,112,0.0055932337418198586,0.16148971070390222,lowlight,clahe,0.06252995749080882
datasets\ExDark-YOLO\images\test\2015_00456.JPG,0,0,3,0,0,0,0,85,0.004421173594892025,0.06157012548173612,lowlight,clahe,0.0668605717677696
datasets\ExDark-YOLO\images\test\2015_00457.JPG,0,0,4,0,0,0,0,238,0.004351438023149967,0.10151186718867135,lowlight,clahe,0.08123758872038399
datasets\ExDark-YOLO\images\test\2015_00458.JPG,0,0,4,0,0,0,0,338,0.004999956581741571,0.18407678246551729,lowlight,clahe,0.10057835797079248
datasets\ExDark-YOLO\images\test\2015_00459.JPG,0,0,3,0,0,0,0,290,0.005588510073721409,0.13422399350027933,lowlight,clahe,0.09269557419321896
datasets\ExDark-YOLO\images\test\2015_00460.JPG,0,0,2,0,0,0,0,812,0.004604183603078127,0.2058167797401117,lowlight,clahe,0.10901241447099673
datasets\ExDark-YOLO\images\test\2015_00461.jpg,0,3,3,0,0,0,0,300,0.014577803201973438,0.17874740401124642,lowlight,clahe,0.05364846622242647
datasets\ExDark-YOLO\images\test\2015_00462.jpg,3,5,5,0,0,0,0,207,0.026849854737520218,0.2965532489851409,lowlight,clahe,0.07709944980596405
datasets\ExDark-YOLO\images\test\2015_00463.jpg,0,1,6,0,3,0,0,325,0.017540475353598595,0.20582107843137254,lowlight,clahe,0.04704555057700163
datasets\ExDark-YOLO\images\test\2015_00464.jpg,0,3,5,0,1,0,0,635,0.015078375115990639,0.10618580765639589,lowlight,clahe,0.04228753382863562
datasets\ExDark-YOLO\images\test\2015_00465.jpeg,0,0,4,0,0,0,0,110,0.0029866609256714582,0.13201665254579198,lowlight,clahe,0.054988278058619285
datasets\ExDark-YOLO\images\test\2015_00466.jpg,0,91,8,0,0,0,0,1000,0.10171031951904297,0.061297661104050674,lowlight,clahe,0.04655374285130719
datasets\ExDark-YOLO\images\test\2015_00467.jpg,0,1,4,0,0,0,0,274,0.0078111374750733376,0.04139408435402758,lowlight,clahe,0.03647092333026961
datasets\ExDark-YOLO\images\test\2015_00468.jpg,0,2,2,0,0,0,0,261,0.015681840479373932,0.12706091388378268,lowlight,clahe,0.0748807253370098
datasets\ExDark-YOLO\images\test\2015_00469.jpg,0,0,5,0,0,0,0,998,0.005535288248211145,0.053372698423505206,lowlight,clahe,0.03797369664011438
datasets\ExDark-YOLO\images\test\2015_00470.jpg,0,0,9,0,0,0,0,687,0.006301978603005409,0.08404966828552408,lowlight,clahe,0.04642172181372549
datasets\ExDark-YOLO\images\test\2015_00471.jpg,1,9,5,0,0,0,0,394,0.028371388092637062,0.07948945567810457,lowlight,clahe,0.04586977570976307
datasets\ExDark-YOLO\images\test\2015_00472.jpg,0,2,5,0,0,0,0,977,0.01265038177371025,0.04422422640931373,lowlight,clahe,0.036075575086805554
datasets\ExDark-YOLO\images\test\2015_00473.jpg,0,1,7,0,0,0,0,480,0.015115422196686268,0.10737437448937909,lowlight,clahe,0.05270882161458333
datasets\ExDark-YOLO\images\test\2015_00474.jpg,0,16,4,0,0,0,0,805,0.028326041996479034,0.05987410641339869,lowlight,clahe,0.03931758386948529
datasets\ExDark-YOLO\images\test\2015_00475.jpg,0,0,1,0,0,0,0,495,0.01230173371732235,0.053076969720179744,lowlight,clahe,0.043002849902982025
datasets\ExDark-YOLO\images\test\2015_00476.jpg,0,0,4,0,0,0,0,361,0.006886444054543972,0.09000479345383987,lowlight,clahe,0.04382607932495915
datasets\ExDark-YOLO\images\test\2015_00477.jpg,0,1,3,0,0,0,0,143,0.0160661693662405,0.3246420232663296,lowlight,clahe,0.05376798023897059
datasets\ExDark-YOLO\images\test\2015_00478.jpg,0,0,1,0,0,0,0,968,0.006268738303333521,0.19146646662955255,lowlight,clahe,0.10770969924428105
datasets\ExDark-YOLO\images\test\2015_00479.jpg,0,0,4,0,0,0,0,227,0.00659985700622201,0.18843278867102395,lowlight,clahe,0.07313443691278594
datasets\ExDark-YOLO\images\test\2015_00480.jpg,0,4,2,0,0,0,0,163,0.020225724205374718,0.09083074795291307,lowlight,clahe,0.06387337877859477
datasets\ExDark-YOLO\images\test\2015_00481.jpg,0,0,1,0,0,0,0,223,0.005286499857902527,0.21294676437127752,lowlight,clahe,0.05883302696078431
datasets\ExDark-YOLO\images\test\2015_00482.jpg,0,7,4,0,0,0,0,555,0.019955327734351158,0.260341185526131,lowlight,clahe,0.08003632748672386
datasets\ExDark-YOLO\images\test\2015_00483.jpg,0,0,2,0,0,0,0,305,0.007633404806256294,0.19776076978939724,lowlight,clahe,0.09018588835273693
datasets\ExDark-YOLO\images\test\2015_00484.jpg,0,0,2,0,0,0,0,49,0.010834832675755024,0.3008603809544593,lowlight,clahe,0.04775126059538398
datasets\ExDark-YOLO\images\test\2015_00485.jpg,0,0,2,0,0,0,0,270,0.003988382872194052,0.20499316199166778,lowlight,clahe,0.0842549179176879
datasets\ExDark-YOLO\images\test\2015_00486.jpg,0,2,3,0,0,0,0,247,0.007968880236148834,0.16379078914612893,lowlight,clahe,0.08649641607945262
datasets\ExDark-YOLO\images\test\2015_00487.jpg,0,0,1,0,0,0,0,154,0.00417793495580554,0.13355967450607975,lowlight,clahe,0.07115186823427289
datasets\ExDark-YOLO\images\test\2015_00488.jpg,0,2,3,0,0,0,0,401,0.011019960045814514,0.10388523284313725,lowlight,clahe,0.044271829044117646
datasets\ExDark-YOLO\images\test\2015_00489.jpg,0,0,1,0,0,0,0,407,0.006379593629390001,0.23911930745897703,lowlight,clahe,0.07757154437295752
datasets\ExDark-YOLO\images\test\2015_00490.jpg,0,4,5,0,0,0,0,988,0.014380340464413166,0.0857402379755321,lowlight,clahe,0.04128933057598039
datasets\ExDark-YOLO\images\test\2015_00491.jpg,0,0,4,0,0,0,0,443,0.005582830403000116,0.19831453046905034,lowlight,clahe,0.09056877744587419
datasets\ExDark-YOLO\images\test\2015_00492.jpg,0,0,1,0,0,0,0,210,0.013973783701658249,0.15228182505536852,lowlight,clahe,0.0863802370557598
datasets\ExDark-YOLO\images\test\2015_00493.jpg,0,1,1,0,0,0,0,254,0.012857971712946892,0.2022638638012343,lowlight,clahe,0.058756759344362745
datasets\ExDark-YOLO\images\test\2015_00494.jpg,0,2,1,0,0,0,0,502,0.015413034707307816,0.05121981969880675,lowlight,clahe,0.033661691304125815
datasets\ExDark-YOLO\images\test\2015_00495.jpg,0,0,1,0,0,0,0,65,0.009824920445680618,0.061057356275843674,lowlight,clahe,0.04497408598856209
datasets\ExDark-YOLO\images\test\2015_00496.jpg,0,0,1,0,0,0,0,58,0.0034342464059591293,0.10977169150326797,lowlight,clahe,0.07142973537071078
datasets\ExDark-YOLO\images\test\2015_00497.jpg,0,0,1,0,0,0,0,171,0.005326417274773121,0.098857777162407,lowlight,clahe,0.06015027892667484
datasets\ExDark-YOLO\images\test\2015_00498.jpg,0,1,3,0,0,0,0,352,0.009235448203980923,0.1386806256281878,lowlight,clahe,0.06739499400020424
datasets\ExDark-YOLO\images\test\2015_00499.jpg,0,0,5,0,0,0,0,186,0.00440734438598156,0.10232092524509805,lowlight,clahe,0.06568069278492647
datasets\ExDark-YOLO\images\test\2015_00500.jpg,0,0,2,0,0,0,0,647,0.004932878538966179,0.10890317139689729,lowlight,clahe,0.054770211014093136
datasets\ExDark-YOLO\images\test\2015_00501.jpg,0,4,3,0,0,0,0,618,0.010101648047566414,0.1748290554647785,lowlight,clahe,0.08331900403390524
datasets\ExDark-YOLO\images\test\2015_00502.jpg,0,1,1,0,0,0,0,60,0.01496268529444933,0.39609511591094776,lowlight,clahe,0.047832956750408495
datasets\ExDark-YOLO\images\test\2015_00503.png,0,2,1,0,0,0,0,125,0.013590219430625439,0.08830685763888889,lowlight,clahe,0.04976225171058007
datasets\ExDark-YOLO\images\test\2015_00504.png,0,1,1,0,0,0,0,182,0.009549703449010849,0.12216422845179739,lowlight,clahe,0.06250713592728759
datasets\ExDark-YOLO\images\test\2015_00505.png,0,0,1,0,0,0,0,168,0.011545508168637753,0.12268794679330067,lowlight,clahe,0.056873803232230395
datasets\ExDark-YOLO\images\test\2015_00506.png,0,3,1,0,0,0,0,370,0.017900146543979645,0.17083227379493465,lowlight,clahe,0.06417211754493464
datasets\ExDark-YOLO\images\test\2015_00507.png,0,10,1,0,0,0,0,274,0.025865700095891953,0.1585540492238562,lowlight,clahe,0.06814076542075163
datasets\ExDark-YOLO\images\test\2015_00508.jpg,0,4,4,0,0,0,0,1000,0.012328571639955044,0.10096640114379085,lowlight,clahe,0.06753861251531862
datasets\ExDark-YOLO\images\test\2015_00509.jpg,0,0,2,0,0,0,0,610,0.006185631733387709,0.07154816431781046,lowlight,clahe,0.057153237336601305
datasets\ExDark-YOLO\images\test\2015_00510.png,0,0,1,0,0,0,0,255,0.01015602145344019,0.08962516595179738,lowlight,clahe,0.05349985957924837
datasets\ExDark-YOLO\images\test\2015_00511.jpg,0,1,1,0,0,0,0,163,0.008586703799664974,0.10523133680555556,lowlight,clahe,0.0663462424683415
