image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000069_00001_d_0000001.jpg,6,1,28,0,7,0,1,99,0.046923309564590454,0.06855253258550634,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_00483_d_0000002.jpg,5,3,22,0,6,0,2,79,0.06948285549879074,0.06584193862089241,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_00713_d_0000003.jpg,6,4,43,0,22,0,4,113,0.07345554977655411,0.08758517463117504,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_01109_d_0000004.jpg,3,2,28,0,6,0,2,118,0.03432231396436691,0.08950645302334698,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_01878_d_0000005.jpg,10,4,26,0,12,0,6,126,0.05900276452302933,0.05377725007727043,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_02163_d_0000006.jpg,5,7,44,0,17,0,7,159,0.05013921111822128,0.0760014210220805,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000069_02480_d_0000007.jpg,7,7,57,0,29,0,18,199,0.05329794064164162,0.07015105803951723,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000072_02834_d_0000003.jpg,0,0,73,0,21,0,4,119,0.008255191147327423,0.016821784230801124,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000076_02142_d_0000009.jpg,0,1,11,0,4,0,3,10,0.052323926240205765,0.07897433113960693,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000081_00000_d_0000001.jpg,0,0,86,0,74,0,57,42,0.006074120756238699,0.041544919511014286,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_00000_d_0000001.jpg,4,9,33,0,21,0,7,196,0.0494949147105217,0.038571373456790126,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000086_00592_d_0000002.jpg,0,2,65,0,40,0,29,95,0.020105773583054543,0.04480806705398208,lowlight,none,0.0
