image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000001_02999_d_0000005.jpg,11,9,116,2,74,0,44,1000,0.03367072716355324,0.0566648908405955,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03499_d_0000006.jpg,10,13,67,0,53,0,37,1000,0.03511907905340195,0.07872987397119342,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03999_d_0000007.jpg,6,9,42,0,26,0,3,1000,0.03667723760008812,0.11077253162067295,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_04527_d_0000008.jpg,3,4,112,1,71,0,32,1000,0.030041644349694252,0.08940641453340596,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05249_d_0000009.jpg,49,37,64,0,27,0,5,1000,0.07697426527738571,0.05355310646635197,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05499_d_0000010.jpg,63,25,77,0,52,0,20,1000,0.07509615272283554,0.03809568279472283,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05999_d_0000011.jpg,37,29,78,1,65,0,47,1000,0.05471642315387726,0.07329304534313726,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_07999_d_0000012.jpg,7,18,129,6,93,4,61,1000,0.047892987728118896,0.16323533761498427,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_08414_d_0000013.jpg,19,14,145,1,106,1,46,1000,0.045866064727306366,0.03708694550351005,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00000_d_0000001.jpg,2,2,29,1,22,1,19,541,0.015868399292230606,0.07126971374969741,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00500_d_0000002.jpg,1,2,16,1,14,1,11,531,0.011560662649571896,0.07733084452916969,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00800_d_0000003.jpg,1,4,6,1,6,1,3,324,0.016364585608243942,0.10560822893972403,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00000_d_0000004.jpg,6,12,35,3,32,2,25,681,0.0236692912876606,0.07014603758169935,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00500_d_0000005.jpg,2,9,30,0,22,0,14,624,0.02514328621327877,0.10847590625756474,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01036_d_0000006.jpg,2,3,14,0,4,0,3,726,0.012897374108433723,0.02123007443718228,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01251_d_0000007.jpg,2,10,10,0,0,0,0,857,0.019071480259299278,0.04326613562091503,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00000_d_0000008.jpg,6,10,34,3,32,1,25,768,0.02259194292128086,0.05602557643427742,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00300_d_0000009.jpg,2,4,28,2,23,1,14,414,0.024052152410149574,0.062327523602033405,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00868_d_0000010.jpg,9,4,11,2,4,2,3,506,0.020245123654603958,0.039691108387799566,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_01233_d_0000011.jpg,1,8,13,0,0,0,0,903,0.019158480688929558,0.04418258290970709,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000024_00000_d_0000012.jpg,2,1,19,1,8,0,3,1000,0.012372438795864582,0.0710253797506657,lowlight,none,0.0
